2024-03-17 16:09:32.898 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-17 16:09:32.898 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.CoreContainer Reloading SolrCore 'restaurants' using configuration from instancedir /var/solr/data/restaurants
2024-03-17 16:09:32.950 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurants], dataDir=[/var/solr/data/restaurants/data/]
2024-03-17 16:09:32.996 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-17 16:09:32.996 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-17 16:09:33.005 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurants/conf
2024-03-17 16:09:33.007 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-03-17 16:09:33.008 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-17 16:09:33.008 INFO  (searcherExecutor-24-thread-1-processing-restaurants null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:33.009 INFO  (searcherExecutor-24-thread-1-processing-restaurants null-25) [c: s: r: x:restaurants t:null-25] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-17 16:09:33.013 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-03-17 16:09:33.016 INFO  (searcherExecutor-24-thread-1-processing-restaurants null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:09:33.017 INFO  (qtp1331270134-27-null-25) [c: s: r: x: t:null-25] o.a.s.c.S.Request webapp=/solr path=/schema params={wt=json&_=1710691739133} status=0 QTime=305
2024-03-17 16:09:33.017 INFO  (searcherExecutor-24-thread-1-processing-restaurants null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:33.018 INFO  (qtp1331270134-27-null-25) [c: s: r: x: t:null-25] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@6b28b429 restaurants
2024-03-17 16:09:33.019 INFO  (qtp1331270134-27-null-25) [c: s: r: x: t:null-25] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurants tag=SolrCore@6b28b429
2024-03-17 16:09:33.021 INFO  (searcherExecutor-24-thread-1-processing-restaurants null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:09:34.549 INFO  (qtp1331270134-24-null-26) [c: s: r: x:restaurants t:null-26] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710691737300} status=0 QTime=4
2024-03-17 16:09:34.549 INFO  (qtp1331270134-19-null-27) [c: s: r: x:restaurants t:null-27] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710691739133} status=0 QTime=0
2024-03-17 16:09:34.575 INFO  (qtp1331270134-27-null-28) [c: s: r: x:restaurants t:null-28] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710691737300} status=0 QTime=0
2024-03-17 16:09:40.862 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/restaurants/conf/managed-schema.xml
2024-03-17 16:09:40.891 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-17 16:09:40.900 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.s.IndexSchema Schema name=default-config
2024-03-17 16:09:41.169 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-17 16:09:41.169 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.CoreContainer Reloading SolrCore 'restaurants' using configuration from instancedir /var/solr/data/restaurants
2024-03-17 16:09:41.221 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurants], dataDir=[/var/solr/data/restaurants/data/]
